Latitude,Longitude,cidade,estado
0.03544437479806545,-51.082187989347375,macapa,AP
-23.623159704421926,-47.58845788960437,salto de pirapora,SP
-23.631099508336796,-46.707225633987434,taboao da serra,SP
-18.212985521217604,-49.799881026278754,bom jesus,GO
-22.847433946298175,-49.52238132107445,santa cruz do rio pardo,SP
-23.696732530559796,-46.607135703516306,diadema,SP
-13.292551004990642,-39.818585677479426,santa ines,BA
-11.666336679168534,-39.00580962781487,serrinha,BA
-23.528773674712856,-47.17888478372605,votorantim,SP
-22.415362895888745,-44.553319702064876,itatiaia,RJ
-22.664523898078492,-43.28569229745683,duque de caxias,RJ
-20.92701508956125,-41.8692282664142,varre-sai,RJ
-20.42713855236074,-40.32842106050482,vila velha,ES
-22.97372881438084,-44.0317931293595,mangaratiba,RJ
-23.125787577666465,-46.59565977977078,atibaia,SP
-12.917096631241442,-38.42120611997659,salvador,BA
-9.61306220421068,-35.71016865713274,maceio,AL
-21.269913395345874,-50.34349774999997,birigui,SP
-22.38501594087672,-43.15896068862672,petropolis,RJ
-22.55367601881928,-47.9135570434014,sao pedro,SP
-24.24310897389938,-49.691989002820776,jaguariaiva,PR
-21.942302877706858,-47.059632070695486,franco da rocha,SP
-22.930518658572446,-45.43381989973567,pindamonhangaba,SP
-25.50298532923379,-50.645765501689596,irati,PR
-24.657595960992623,-49.00742874097137,ribeira,SP
-21.247815043187323,-43.71797048292491,barbacena,MG
-7.861131281097913,-35.44850232971726,limoeiro,PE
-11.439362787999709,-60.9850698329206,espigao do oeste,RO
-22.735863245185907,-43.375629676878646,belford roxo,RJ
-19.501751689580175,-42.611591024888334,coronel fabriciano,MG
-24.164796412244982,-46.81274121411553,itanhaem,SP
-20.96574603609991,-48.54935007812171,bebedouro,SP
-22.738871624343567,-47.308884969819374,americana,SP
-20.49658586379764,-43.48518737808146,uba,MG
-23.41182172888766,-51.434220804396475,arapongas,PR
-23.478056424908505,-46.89299514624657,vinhedo,SP
-26.910445364308657,-48.69576534398712,itajai,SC
-21.77565874934264,-48.527409926818976,bauru,SP
-21.352878201410313,-48.07372686641046,pradopolis,SP
-10.234976165063054,-59.513961784715235,aripuana,MT
-16.583258325806206,-39.781483584012555,guaratinga,BA
-22.535521625364527,-55.71139368800049,ponta pora,MS
-21.185871240000523,-50.439996819975974,aracatuba,SP
-22.53511122120434,-44.08996557479253,volta redonda,RJ
-23.420872596912954,-51.96752221875957,maringa,PR
-21.778752623179727,-48.18166026415831,araraquara,SP
-20.32960920931196,-42.35757260062674,matipo,MG
-29.840230497836018,-50.52851699459919,santo antonio da patrulha,RS
-22.540941877499964,-44.205832280945245,barra mansa,RJ
-17.95708486817984,-43.47569003543428,diamantina,MG
-23.493795684828612,-47.19966241501798,mairinque,SP
-25.489382745607273,-53.54927348986038,capitao leonidas marques,PR
-20.91060019283811,-47.05825964225234,sao sebastiao do paraiso,MG
-30.252524745144342,-54.882628944104255,rosario do sul,RS
-22.87567283822018,-43.803552821038195,itaguai,RJ
-19.278568461372778,-44.40104758476332,paraopeba,MG
-25.459811867426474,-51.46991126621573,guarapuava,PR
-17.257273238405247,-40.998490307361195,crisolita,MG
-22.59829481830039,-43.863811279451525,pirai,RJ
-19.212127853492973,-40.04631066121233,linhares,ES
-22.49303943728404,-48.97044445663199,agudos,SP
-22.679107579880018,-43.07494787850776,sao joao de meriti,RJ
-26.849558510785105,-48.691566463920594,navegantes,SC
-21.977938658813205,-47.40330518245564,pirassununga,SP
-26.822469124434754,-52.23327363174349,faxinal dos guedes,SC
-28.72388578048278,-49.35655649174942,criciuma,SC
-18.659304976618373,-40.57064929489293,nova venecia,ES
-28.423790098858717,-54.19652996629544,passo fundo,RS
-19.573988529967025,-46.57442433408488,ibia,MG
-20.161829659712605,-42.10226607265406,manhuacu,MG
-3.204512902626884,-52.209941462176126,altamira,PA
-21.640997633071787,-42.10918092675238,aperibe,RJ
-15.511537554436899,-55.91910708013563,cuiaba,MT
-29.921636238194573,-51.1768663988544,canoas,RS
-23.903820597937568,-46.43221856460276,cubatao,SP
-23.410189758265226,-46.753847247589974,campo limpo paulista,SP
-23.288800506535367,-51.26594483836496,cambe,PR
-23.465229738734365,-46.32978238576371,itaquaquecetuba,SP
-23.62582218028234,-46.565159876055894,sao caetano do sul,SP
-18.996807797076947,-44.08685374183054,sao goncalo do rio abaixo,MG
-23.317885165438902,-51.3682592237148,rolandia,PR
-21.671895754451256,-45.29424458284295,tres coracoes,MG
-30.457698855890094,-53.52254439024311,cacapava do sul,RS
-21.56353619003326,-42.96818255288,sao joao nepomuceno,MG
-22.186528689650736,-47.383082703560326,leme,SP
-22.352969728980288,-47.3656987724637,araras,SP
-8.472938261340168,-35.54254290723767,cortes,PE
-27.41658302922829,-49.58410476485686,brusque,SC
-29.737973140397493,-51.46956290170091,montenegro,RS
-16.020170729705356,-49.80292364521811,itaberai,GO
-21.481997794567732,-47.37233136498158,santa rosa de viterbo,SP
-14.955454685795862,-47.7903218303053,agua fria de goias,GO
-28.4175904193614,-52.23181463908146,marau,RS
-18.94639647063311,-44.531019465257835,curvelo,MG
-21.704354042340565,-43.44175253236627,juiz de fora,MG
-22.335123947428308,-47.02536053304921,mogi-guacu,SP
-22.779993837446725,-45.19571217918675,guaratingueta,SP
-25.54438457191555,-48.53993283826212,paranagua,PR
-21.673469953570006,-49.74323992466374,lins,SP
-29.676401032134635,-51.05766089336776,campo bom,RS
-21.113623968446895,-47.96432397650513,sertaozinho,SP
-20.555183289919455,-51.463473976234255,tres lagoas,MS
-22.314272064248698,-48.59072001242137,jau,SP
-13.717010286920338,-59.257898831801526,campos de julio,MT
-22.887615776447422,-42.50971889215022,saquarema,RJ
-22.563493368502158,-47.167252580562945,artur nogueira,SP
-9.869279986225738,-39.480908447837024,uaua,BA
-23.53979448000977,-46.89933954165535,jandira,SP
-27.207255793963455,-51.99586226782132,concordia,SC
-22.25971315686339,-42.476992705487376,nova friburgo,RJ
-23.48631729006113,-47.44497351137704,sorocaba,SP
-20.449579470835005,-42.90231920214525,ponte nova,MG
-26.46201334099532,-48.73439362505363,araquari,SC
-21.07033970022016,-42.37366072495526,muriae,MG
-20.091038529587983,-43.90908739268316,nova lima,MG
-16.345603465893863,-49.49315576187676,inhumas,GO
-21.410397140690492,-41.69221771639728,italva,RJ
-22.112116323089165,-43.192186860975475,tres rios,RJ
-29.715011368816413,-53.84263515120895,santa maria,RS
-14.218907411851895,-39.81300114418802,itagiba,BA
-17.23069955038889,-46.82611609811443,paracatu,MG
-26.95669647732362,-52.52615337703625,xaxim,SC
-25.39682871759626,-52.40624587102977,laranjeiras do sul,PR
-4.56367780561959,-38.919134820592646,itapiuna,CE
-15.550187445742978,-47.31566744399191,formosa,GO
-29.606958887017957,-51.16016454360549,ivoti,RS
-9.37493667037942,-40.29188909996551,juazeiro,BA
-25.110139173762434,-50.16103534346043,ponta grossa,PR
-7.232384705655303,-35.89673208011047,campina grande,PB
-23.667494892386152,-46.445674582142324,maua,SP
-8.07022123826219,-39.12826193508592,salgueiro,PE
-22.728235429501964,-45.11468139454475,lorena,SP
-24.70502204105916,-53.69548368326958,toledo,PR
-22.64970585798614,-43.108533471296,sao pedro da aldeia,RJ
-16.74660423523659,-48.5111959488202,vianopolis,GO
-9.755611010897121,-36.655936536723246,arapiraca,AL
-14.760492150265229,-42.979798165805875,porto seguro,BA
-9.870090415119119,-63.0401609565031,ariquemes,RO
-27.050478817441068,-49.650270592298796,presidente getulio,SC
-26.109564102932858,-49.664860841375194,rio negro,PR
-23.70393192212502,-46.39994842167405,ribeirao pires,SP
-8.887508295612843,-35.16985177090655,sao jose da coroa grande,PE
-18.48173709635995,-41.00573143357141,agua doce do norte,ES
-16.33781675749995,-48.951855969036615,anapolis,GO
